epoch, train_loss, train_accuracy, validation_loss, validation_accuracy
1, 0.16564385416521424, 20.725104516482766, 0.05255542307471236, 66.15737203972498
2, 0.04772388725273911, 65.95020875212617, 0.029544046575513978, 78.06896551724137
3, 0.02979008564832567, 77.62893038106476, 0.020239614784562338, 83.48623853211008
4, 0.021002662079622862, 84.34320225825509, 0.014923332423980659, 88.91625615763546
5, 0.015953531702338108, 88.23566677225213, 0.012423521911841817, 89.71041281577327
6, 0.012603109259688263, 90.92942345924452, 0.010667338775723087, 92.02598936798583
7, 0.010248144588368978, 92.83226397800183, 0.010412481596479969, 92.88214702450408
8, 0.008650353321559385, 93.78942261038331, 0.009393294795396892, 93.11359623307828
9, 0.007094852025245969, 95.13559016294872, 0.009947452752385288, 93.41040462427745
10, 0.006173800853557414, 96.03155629930671, 0.009134643693566128, 93.0934416715032
11, 0.005169441788116117, 96.57346817370613, 0.009940412972355261, 93.14750290360047
12, 0.004537929860298286, 97.06265545422242, 0.00937961690215161, 93.71032890940566
13, 0.003801182184392458, 97.72244512626858, 0.009538538604829228, 94.02898550724638
14, 0.003364327694282696, 97.9425809113954, 0.010214969823209685, 93.40218014916809
15, 0.002960624728480959, 98.25902834960593, 0.01012848722681762, 93.67816091954022
16, 0.0026654603194046283, 98.4, 0.010340013888253452, 93.92712550607288
17, 0.0024131856826950272, 98.5241371200094, 0.01081407759617529, 93.32566168009205
18, 0.002194612868041223, 98.61486089916657, 0.010676268552591258, 93.23394495412845
19, 0.0020565810708172523, 98.77919943655358, 0.011277180913566553, 93.0817610062893
20, 0.0017647281393765716, 98.95625659669285, 0.010905999653762896, 93.35604770017036
21, 0.0016582609582896446, 99.02127410185781, 0.011633848667770508, 93.44073647871116
22, 0.0014974994211878838, 99.14509895772339, 0.011591026169450439, 93.61459521094642
23, 0.0013739322628638568, 99.17461804132763, 0.012451825805252762, 93.35624284077892
24, 0.0014288545691126546, 99.10479199578727, 0.011935980641927321, 93.53176874642243
25, 0.0012115993549114451, 99.27417466635448, 0.012178839831979834, 93.53916523727844
26, 0.0012240521669161677, 99.2921906990348, 0.012079423293622918, 93.83561643835617
27, 0.001357786942498515, 99.16929916929917, 0.011978862078952565, 93.37899543378995
28, 0.0010407297745848479, 99.3799719232569, 0.013204355218931596, 93.16628701594533
29, 0.0009523138137818274, 99.41506785212914, 0.013890977052559114, 93.09754706217912
30, 0.0009719239495244364, 99.3975551266304, 0.013059826761301943, 93.47079037800687
31, 0.000977028389462802, 99.37408599005558, 0.012356408593348078, 93.68959636156907
32, 0.000866080598031146, 99.42703461178671, 0.013279628239539912, 93.36384439359267
33, 0.000717422132025792, 99.53232783818542, 0.013689846961445559, 93.21937321937322
34, 0.0007139222515151828, 99.54978658714845, 0.013715754630671503, 93.64625071551231
35, 0.0010406936186223776, 99.30372710783453, 0.014521790712251459, 92.84903518728717
36, 0.0008048282773781738, 99.45629932768196, 0.01567651122532728, 93.12714776632302
37, 0.0006823455347361671, 99.59679775609187, 0.014402683700533695, 93.48571428571428
38, 0.0005836878451504915, 99.64354584234206, 0.014661713216166087, 92.98043728423475
39, 0.0005709828635043851, 99.61421557166238, 0.015598028587381426, 93.0602957906712
40, 0.0005441825022188269, 99.61426066627703, 0.014630013703140321, 93.42403628117914
