epoch, train_loss, train_accuracy, validation_loss, validation_accuracy
1, 0.17086404337622654, 10.776632302405497, 0.07086508472760518, 41.681901279707496
2, 0.061996356556299086, 59.738572704392304, 0.04438999411650002, 70.0371747211896
3, 0.04389365292743019, 70.21882494004797, 0.03267586409735183, 76.79324894514767
4, 0.03373071216367956, 76.8, 0.02777290320955217, 80.3725881570193
5, 0.026960462566208224, 81.83540877097997, 0.021000802245301504, 87.31676226896113
6, 0.02197201432681632, 85.60556357433408, 0.018346502368027966, 89.22888616891063
7, 0.018579950449913313, 88.31551315705232, 0.015755907700319465, 89.58333333333333
8, 0.015721598774430225, 90.06480840621657, 0.013411894086554335, 92.01934703748489
9, 0.013539256250764103, 91.85801166687352, 0.012791339308023453, 91.67657550535077
10, 0.01170401692379737, 93.14765965278204, 0.011596144303136194, 92.95774647887323
11, 0.010115106310160167, 94.1426920503619, 0.011026974532190556, 92.46171967020025
12, 0.008905609844161475, 94.88124735601619, 0.010691610232849294, 93.31026528258361
13, 0.007762821194121678, 95.66522574447647, 0.010100299121404532, 92.7283304246655
14, 0.00691970693049203, 96.16557994855536, 0.00974786834437206, 93.81860196418255
15, 0.006123826934436829, 96.74346609513603, 0.010338586313688817, 93.75358166189112
16, 0.005510810648436369, 97.15234931181774, 0.01002117408279446, 93.53348729792148
17, 0.00483986848587941, 97.58116979123544, 0.01061055920824098, 92.96424452133793
18, 0.004503095347833038, 97.68321513002364, 0.010298927683228007, 93.27972429638139
19, 0.004137266009722184, 97.98110979929162, 0.009710730348160723, 93.90804597701148
20, 0.003620410840235779, 98.30528421795928, 0.010344877279446033, 93.76786735277301
21, 0.0032727372863372768, 98.43363561417972, 0.01046592669505723, 93.51535836177476
22, 0.00299587137916864, 98.60612833029465, 0.010224952402495546, 93.5685828116107
23, 0.002773474791386946, 98.67856933106243, 0.01073876619436002, 93.56125356125355
24, 0.0029436976768293195, 98.3955333529239, 0.010667513351412103, 93.38654503990878
25, 0.0024041565010008326, 98.83775534162949, 0.011064982340940333, 93.53916523727844
26, 0.0022323321866376017, 98.92586723014615, 0.010848630002631884, 93.41728677733256
27, 0.0020631111329675643, 99.01466275659824, 0.012044985786512067, 93.19611206403658
28, 0.001959086670513511, 99.09793814432989, 0.011481605419551974, 92.99435028248587
29, 0.0017871654384044246, 99.13868869748639, 0.010448204178222417, 93.62186788154898
30, 0.0016958099251663868, 99.2327066127804, 0.011545947334525408, 92.86523216308039
31, 0.0017144910100347032, 99.23306597974359, 0.011826403943208183, 93.60967184801382
32, 0.0016526037168283626, 99.203373945642, 0.011652342509781496, 93.09551208285384
33, 0.001852103557983606, 99.08052708638361, 0.011872806986199672, 93.21163719338276
34, 0.001261305752084537, 99.43813648601194, 0.011683612888797748, 93.39407744874715
35, 0.0011205116093266439, 99.53814674071909, 0.01147229983826037, 93.75358166189112
36, 0.00111129078191127, 99.49678174370978, 0.011799554958088265, 93.34092202618099
37, 0.0012100896186977438, 99.33348924228251, 0.012272004163454161, 93.28743545611016
38, 0.001319301020084404, 99.28629928629928, 0.01186797281904243, 93.31065759637188
39, 0.0011511954428238698, 99.39174172417826, 0.012451771635066203, 93.76073268460217
40, 0.0012214540627275877, 99.36834717510821, 0.012196763530179547, 93.75358166189112
